ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
3044047;Frau und Herrn;N;-;0;0;6;1;07.06.2018;30.06.2019;-;-;47316,2;41;0;0;0;-;-;-;-1;0;1;791,839008
3044047;Frau und Herrn;N;-;0;0;6;1;07.06.2018;30.06.2019;-;-;47316,2;71;0;0;0;-;-;-;-1;0;1;791,839008
3044070;Frau;N;58;0;1;1;1;-;-;-;-;1380,8;-;0;0;0;-;-;-;-2,374727273;0;0;66,923872
3044104;Herrn;N;25;0;1;1;1;-;-;-;-;1569,4;-;0;0;0;-;-;-;-1;0;0;73,919046
3044146;Frau;N;37;0;1;2;1;-;-;-;-;4344;0,3;0;0;0;-;-;-;1,404333333;1;0;140,23117
3044146;Frau;N;37;0;1;2;1;-;-;-;-;4344;216,09;0;0;0;-;-;-;1,404333333;1;0;140,23117
3044195;Herrn;N;48;0;1;2;1;-;-;-;-;38446,532;-;0;0;0;-;-;-;-2,224049296;0;0;331,70458804
3044203;Frau;N;76;0;0;1;1;-;-;-;-;977;-;0;0;0;-;-;-;-1;0;0;51,94693
3044229;Herrn;N;56;0;1;1;1;-;-;-;-;2620,3;-;0;0;0;-;-;-;-1;0;0;112,896927
3044237;Herrn;N;46;0;1;2;1;30.04.2018;30.04.2018;-;-;31207,291;2,5;0;0;0;-;-;-;-0,291359649;0;1;427,20638387
3044237;Herrn;N;46;0;1;2;1;30.04.2018;30.04.2018;-;-;31207,291;228;0;0;0;-;-;-;-0,291359649;0;1;427,20638387
3044252;Frau;N;36;1;0;1;1;-;-;-;-;2282;-;0;0;0;-;-;-;-1,294705882;0;0;100,34938
3044260;Frau;N;26;0;1;1;1;-;-;-;-;1359,7;-;0;0;0;-;-;-;-1;0;0;66,141273
3044278;-;J;-;0;1;2;2;-;-;-;-;27113,073;-;0;0;0;-;-;-;-1;0;0;252,48133281
3044310;Herrn;N;21;0;1;1;1;-;-;-;-;1658;-;0;0;0;-;-;-;-1;0;0;77,20522
3044328;-;J;-;1;0;2;1;11.04.2019;11.04.2019;-;-;27533,04;-;0;0;0;-;-;-;3,569314286;1;1;299,1669688
3044336;Herrn;N;77;0;1;1;1;-;-;-;-;632;-;0;0;0;-;-;-;-0,929130435;0;0;21,14688
3044344;Frau und Herrn;N;30;0;1;2;1;-;-;-;-;9617,9;-;0;0;0;-;-;-;-1;0;0;187,921271
3044351;Herrn;N;50;1;1;1;1;-;-;-;-;20188,041;-;0;0;0;-;-;-;-4,000833333;0;0;156,80260477
3044385;Herrn;N;28;0;0;1;1;-;-;-;-;312,7;-;0;0;0;-;-;-;-1,809411765;0;0;27,308043
3044393;Frau;N;23;0;1;2;1;-;-;0;n/a;7157,628;-;0;0;0;-;-;-;-1;0;0;137,36547596
3044401;Herrn;N;53;0;0;1;1;-;-;-;-;423;-;0;0;0;-;-;-;-1;0;0;31,39907
3044419;Frau;N;72;0;0;2;1;-;-;-;-;475,514;-;0;0;0;-;-;-;-8,622;0;0;35,52817668
3044427;Herrn;N;62;0;0;2;1;-;-;-;-;14952,505;-;0;0;0;-;-;-;-1,512356688;0;0;213,19655885
3044450;Frau;N;51;1;0;1;1;-;-;-;-;1541;-;0;0;0;-;-;-;-1;0;0;46,22619
3044484;Herrn;N;48;0;1;1;1;31.01.2018;31.01.2018;-;-;6559,8;-;0;0;0;-;-;-;2,952;1;1;274,722982
3044492;Herrn;N;57;0;1;2;1;-;-;600;rot;559,2;6,88;0;0;0;-;-;-;-1,0025;0;0;52,160728
3044492;Herrn;N;57;0;1;2;1;-;-;600;rot;559,2;27,54;0;0;0;-;-;-;-1,0025;0;0;52,160728
