ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
344618;Frau;N;30;0;1;2;0;19.09.2019;19.09.2019;-;-;4572,57;108,81;0;0;0;-;-;-;-1;0;291,8395634
344621;Frau;N;44;1;0;1;4;-;-;-;-;130;-;0;0;0;-;-;-;-1;0;0
344633;Herrn;N;40;0;1;2;4;-;-;-;-;6257,6;-;0;0;0;-;-;-;-2,26424581;0;149,008464
344637;Frau;N;32;0;1;2;4;-;-;0;n/a;25785,69;-;0;0;0;-;-;-;-1,579449541;0;259,5693393
344639;Frau;N;56;0;0;1;4;-;-;-;-;1472,5;-;0;0;0;-;-;-;-1,496818182;0;44,336275
344641;Frau;N;52;0;1;2;1;-;-;-;-;1713;-;0;0;0;-;-;-;-3,7632;0;64,35713
344643;Firma;J;50;0;0;1;4;-;-;-;-;1374,5;-;0;0;0;-;-;-;-3,176;0;41,632455
344646;Frau und Herrn;N;31;0;0;3;4;-;-;-;-;23682,214;-;0;0;0;1;0;08.07.2019;-1,740035211;0;358,85147758
344650;Herrn;N;38;1;1;2;4;-;-;0;n/a;22893,842;-;0;0;0;-;-;-;-1;0;260,83351674
344653;Frau und Herrn;N;75;0;0;2;4;06.01.2018;01.05.2019;-;-;51612,4;33;0;0;0;-;-;-;-1;0;519,850576
344656;Firma;J;-;0;0;3;4;-;-;-;-;41659,209;-;0;0;0;-;-;-;-2,276321526;0;375,77928269
344657;WEG;J;-;0;0;3;4;-;-;-;-;44727,695;-;0;0;0;-;-;-;-1,471582915;0;396,78523195
344662;Frau;N;48;0;0;2;1;-;-;-;-;4042,435;-;0;0;0;-;-;-;3,532278481;1;153,7902697
344663;Herrn;N;64;1;0;2;4;-;-;-;-;4718;-;0;0;0;-;-;-;-1;0;0
344666;Herrn;N;53;0;0;2;4;-;-;-;-;1656,8;-;0;0;0;-;-;-;-1,554878049;0;67,741182
344669;Frau;N;45;0;1;2;0;31.03.2019;31.03.2019;-;-;7299,213;-;0;0;0;-;-;-;-1,535666667;0;189,13374206
344675;Herrn;N;69;0;0;1;4;-;-;-;-;523,4;-;0;0;0;-;-;-;-1;0;35,122906
344676;Frau;N;61;0;1;3;4;-;-;-;-;19038,807;-;0;0;0;-;-;-;-1;0;219,92139779
